Year ,Month,Day,MaxTempC,MinTempC,
2017,10,16,14.44444444,-2.777777778,
2017,10,17,15.55555556,-2.222222222,
2017,10,18,20.55555556,-1.666666667,
2017,10,19,21.11111111,-0.555555556,
2017,10,20,23.88888889,0.555555556,
2017,10,21,11.66666667,0,
2017,10,22,6.666666667,0,
2017,10,23,13.33333333,0,
2017,10,24,12.77777778,-1.666666667,
2017,10,25,12.77777778,-2.222222222,
2017,10,26,15.55555556,4.444444444,
2017,10,27,15.55555556,-0.555555556,
2017,10,28,12.77777778,-1.111111111,
2017,10,29,15,-1.111111111,
2017,10,30,14.44444444,-1.111111111,
2017,10,31,8.888888889,-4.444444444,
2017,11,1,7.222222222,-4.444444444,
2017,11,2,12.22222222,-16.66666667,
2017,11,3,7.222222222,0,
2017,11,4,3.333333333,-1.111111111,
2017,11,5,2.777777778,-2.777777778,
2017,11,6,3.888888889,-4.444444444,
2017,11,7,4.444444444,-5.555555556,
2017,11,8,2.777777778,-5.555555556,
2017,11,9,3.888888889,-3.888888889,
2017,11,10,6.111111111,-0.555555556,
2017,11,11,5.555555556,0,
2017,11,12,7.777777778,-2.222222222,
2017,11,13,6.666666667,-3.333333333,
2017,11,14,8.888888889,-3.333333333,
2017,11,15,6.111111111,-4.444444444,
2017,11,16,8.888888889,7.222222222,
2017,11,17,8.888888889,-0.555555556,
2017,11,18,5,-5,
2017,11,19,1.666666667,-7.222222222,
2017,11,20,1.666666667,-6.666666667,
2017,11,21,8.333333333,-1.111111111,
2017,11,22,5.555555556,1.111111111,
2017,11,23,8.888888889,3.333333333,
2017,11,24,16.66666667,1.666666667,
2017,11,25,7.222222222,-3.888888889,
2017,11,26,3.333333333,-4.444444444,
2017,11,27,10,-1.666666667,
2017,11,28,7.222222222,-5.555555556,
2017,11,29,4.444444444,-6.111111111,
2017,11,30,7.222222222,-6.666666667,
2017,12,1,-0.555555556,-6.666666667,
2017,12,2,3.333333333,-3.888888889,
2017,12,3,3.333333333,-2.222222222,
2017,12,4,2.222222222,-4.444444444,
2017,12,5,0,-7.222222222,
2017,12,6,-2.222222222,-10,
2017,12,7,-6.111111111,-11.11111111,
2017,12,8,-5,-11.11111111,
2017,12,9,-5.555555556,-11.66666667,
2017,12,10,-6.111111111,-12.22222222,
2017,12,11,-5.555555556,-12.22222222,
2017,12,12,-6.111111111,-12.77777778,
2017,12,13,-5,-12.77777778,
2017,12,14,-1.666666667,-5.555555556,
2017,12,15,1.666666667,-5.555555556,
2017,12,16,-1.111111111,-5,
2017,12,17,2.222222222,-12.77777778,
2017,12,18,-2.777777778,-12.77777778,
2017,12,19,3.888888889,2.222222222,
2017,12,20,6.111111111,-1.666666667,
2017,12,21,0.555555556,-6.666666667,
2017,12,22,-2.777777778,-7.222222222,
2017,12,23,0,-5,
2017,12,24,-1.111111111,-17.22222222,
2017,12,25,-7.222222222,-17.22222222,
2017,12,26,-3.888888889,-8.888888889,
2017,12,27,-3.333333333,-10,
2017,12,28,1.111111111,-5.555555556,
2017,12,29,2.777777778,-3.333333333,
2017,12,30,8.888888889,0.555555556,
2017,12,31,4.444444444,-7.222222222,
2018,1,1,1.666666667,-11.11111111,
2018,1,2,-5,-11.11111111,
2018,1,3,-5.555555556,-11.66666667,
2018,1,4,-1.666666667,-10.55555556,
